name,genre,居酒屋,焼鳥,魚介料理・海鮮料理,日本酒バー,イタリアン,中華料理,ダイニングバー,日本料理,焼肉,ラーメン,定食・食堂,もつ鍋,うどん,寿司,鳥料理,カフェ,カレーライス,バル・バール,ワインバー,ホルモン,飲茶・点心,パン,サンドイッチ,洋食,ビストロ,広東料理,鉄板焼き,餃子,ステーキ,つけ麺,和食（その他）,そば,洋菓子（その他）,お好み焼き,バー,喫茶店,鍋（その他）,牛丼,コーヒー専門店,ケーキ,バイキング,四川料理,親子丼,焼きそば,立ち飲み居酒屋・バー,かつ丼・かつ重,ちゃんぽん,そば・うどん・麺類（その他）,インド料理,パキスタン料理,インドカレー,パスタ,担々麺,焼きとん,うなぎ,スペイン料理,馬刺し,創作料理,肉バル,弁当,もつ焼き,フレンチ,ハンバーガー,韓国料理,刀削麺,串焼き,タイスキ,タイ料理,西洋各国料理（その他）,パブ
個室北国炉端 ときしらず 飯田橋駅前,魚介料理・海鮮料理、居酒屋、日本料理            ,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
祭 飯田橋東口駅前,居酒屋、和食（その他）、焼鳥            ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳥酎 飯田橋,焼鳥、居酒屋、日本酒バー            ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炭火焼き鳥 すいけん 飯田橋,居酒屋、焼鳥、日本酒バー            ,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
個室居酒屋×博多焼き鳥 巻きの助 飯田橋店,居酒屋、焼鳥、もつ鍋            ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
シーフードビストロ 魚卵House Eni,バル・バール、パスタ、イタリアン            ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
やきとりあそび邸,焼鳥、魚介料理・海鮮料理、居酒屋            ,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
飯田橋スペインバル ALBA,スペイン料理、居酒屋、バル・バール            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鉄板居酒屋お好みキング,居酒屋、お好み焼き、鉄板焼き            ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
個室中華 食べ飲み放題 佳宴 飯田橋店,中華料理、居酒屋、餃子            ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
炉端焼き 大衆魚食堂才蔵 飯田橋,居酒屋、魚介料理・海鮮料理、日本酒バー            ,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
